Kepler-256 c,Not A Binary,,0.19593,3.38802,,,,,Kepler-256,1394.65,1,1.301,5551,,Confirmed planets
Kepler-256 d,Not A Binary,,0.226,5.839172,,,,,Kepler-256,1394.65,1,1.301,5551,,Confirmed planets
Kepler-256 b,Not A Binary,,0.1449,1.620493,,,,,Kepler-256,1394.65,1,1.301,5551,,Confirmed planets
Kepler-256 e,Not A Binary,,0.21416,10.681572,,,,,Kepler-256,1394.65,1,1.301,5551,,Confirmed planets
Kepler-468 b,Not A Binary,,1.19,38.47875707,,,,,Kepler-468,,0.96,0.87,5498,,Confirmed planets
HD 156411 b,Not A Binary,0.74,,842.2,1.88,0.22,278,,HD 156411,55.1,1.25,2.16,5900,,Confirmed planets
Kepler-63 b,Not A Binary,,0.556806,9.4341505,0.08,,,,Kepler-63,200,0.984,0.901,5576,,Confirmed planets
EPIC 206318379 b,Not A Binary,,0.212,2.26041,0.0216,0,,,EPIC 206318379,53,0.264,0.293,3214,,Confirmed planets
6 Lyn b,Not A Binary,2.21,,874.774,2.18,0.059,,,6 Lyn,55.8,1.82,5.2,4978,,Confirmed planets
Kepler-1353 b,Not A Binary,,0.161,24.7543966,,,,,Kepler-1353,,0.76,0.72,4776,,Confirmed planets
Kepler-704 b,Not A Binary,,0.233,3.76182115,,,,,Kepler-704,,0.97,0.96,5616,,Confirmed planets
Kepler-507 b,Not A Binary,,0.116,3.56809693,,,,,Kepler-507,,1.16,1.32,6113,,Confirmed planets
Kepler-319 c,Not A Binary,,0.23967,6.941357,,,,,Kepler-319,542.69,0.96,0.903,5526,,Confirmed planets
Kepler-319 d,Not A Binary,,0.20869,31.781925,,,,,Kepler-319,542.69,0.96,0.903,5526,,Confirmed planets
Kepler-319 b,Not A Binary,,0.14854,4.362705,,,,,Kepler-319,542.69,0.96,0.903,5526,,Confirmed planets
HD 154857 b,Not A Binary,2.24,,408.6,1.291,0.46,336,,HD 154857,64.2,1.718,2.31,5508,,Confirmed planets
HD 154857 c,Not A Binary,2.58,,3452,5.36,0.06,,,HD 154857,64.2,1.718,2.31,5508,,Confirmed planets
Kepler-1017 b,Not A Binary,,0.178,7.23400469,,,,,Kepler-1017,,0.93,0.87,5473,,Confirmed planets
Kepler-843 b,Not A Binary,,0.231,2.05387982,,,,,Kepler-843,,1.02,1.03,5830,,Confirmed planets
HD 157172 b,Not A Binary,0.12,,104.84,0.416,0.46,347.9,,HD 157172,31.9,,,5940,,Confirmed planets
HD 11964 A b,S-type Binary,0.622,,1945,3.16,0.041,,,HD 11964,33.98,1.125,2.18,,13.1,"Confirmed planets, Planets in binary systems, S-type"
HD 11964 A c,S-type Binary,0.079,,37.91,0.229,0.3,,,HD 11964,33.98,1.125,2.18,,13.1,"Confirmed planets, Planets in binary systems, S-type"
OGLE2-TR-L9 b,Not A Binary,4.34,1.614,2.4855335,0.0308,,2154.6,,OGLE2-TR-L9,900,1.52,1.53,6933,,Confirmed planets
KOI-423 b,Not A Binary,19.1,1.11,21.087212,0.162,0,,,KOI-423,1200,1.26,1.25,6350,1,Confirmed planets
WASP-133 b,Not A Binary,1.16,1.21,2.176423,0.0345,,1790,,WASP-133,547,1.16,,5700,,Confirmed planets
HD 23079 b,Not A Binary,2.5,,626,1.5,0.02,223.8,,HD 23079,34.8,1.1,1.13,5848,,Confirmed planets
Kepler-909 b,Not A Binary,,0.131,13.93290318,,,,,Kepler-909,,1.17,1.23,6154,,Confirmed planets
Kepler-1487 b,Not A Binary,,0.19,7.31946363,,,,,Kepler-1487,,1.38,1.63,6541,,Confirmed planets
Kepler-876 b,Not A Binary,,0.128,5.14438011,,,,,Kepler-876,,0.81,0.77,5060,,Confirmed planets
Kepler-1491 b,Not A Binary,,0.135,16.5861762,,,,,Kepler-1491,,1,0.99,5728,,Confirmed planets
Kepler-1347 b,Not A Binary,,0.092,14.00947528,,,,,Kepler-1347,,0.82,0.79,5193,,Confirmed planets
